,book_id,count,mean,title,ratings,url,cover_image,mod_title,adjusted_count,score
1796,11,2,5.0,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",940154,https://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy,https://images.gr-assets.com/books/1327656754m/11.jpg,the hitchhikers guide to the galaxy hitchhikers guide to the galaxy 1,4.254622115100292e-06,2.1273110575501457e-05
2036,11127,2,5.0,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",382518,https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia,https://images.gr-assets.com/books/1449868701m/11127.jpg,the chronicles of narnia chronicles of narnia 17,1.0457024244610712e-05,5.228512122305356e-05
5061,12985,2,5.0,The Tempest,127830,https://www.goodreads.com/book/show/12985.The_Tempest,https://images.gr-assets.com/books/1327793692m/12985.jpg,the tempest,3.1291559101932255e-05,0.00015645779550966127
10610,1617,2,5.0,Night (The Night Trilogy #1),708754,https://www.goodreads.com/book/show/1617.Night,https://images.gr-assets.com/books/1473495285m/1617.jpg,night the night trilogy 1,5.643707125462431e-06,2.8218535627312157e-05
18068,2203,2,5.0,John Adams,223171,https://www.goodreads.com/book/show/2203.John_Adams,https://images.gr-assets.com/books/1478144278m/2203.jpg,john adams,1.7923475720411703e-05,8.961737860205851e-05
23119,30119,2,5.0,Where the Sidewalk Ends,1029527,https://www.goodreads.com/book/show/30119.Where_the_Sidewalk_Ends,https://images.gr-assets.com/books/1168052448m/30119.jpg,where the sidewalk ends,3.885279356442327e-06,1.9426396782211637e-05
27446,4473,2,5.0,A Prayer for Owen Meany,229714,https://www.goodreads.com/book/show/4473.A_Prayer_for_Owen_Meany,https://images.gr-assets.com/books/1260470010m/4473.jpg,a prayer for owen meany,1.7412956981289777e-05,8.706478490644888e-05
28293,48855,2,5.0,The Diary of a Young Girl,2028299,https://www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl,https://images.gr-assets.com/books/1358276407m/48855.jpg,the diary of a young girl,1.97209583005267e-06,9.860479150263349e-06
38460,8852,2,4.5,Macbeth,502298,https://www.goodreads.com/book/show/8852.Macbeth,https://images.gr-assets.com/books/1459795224m/8852.jpg,macbeth,7.963400212622785e-06,3.5835300956802534e-05
31167,6149,2,4.5,Beloved,238038,https://www.goodreads.com/book/show/6149.Beloved,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,beloved,1.680403969114175e-05,7.561817861013788e-05
7458,1423,2,4.5,The Compleat Works of Wllm Shkspr,7279,https://www.goodreads.com/book/show/1423.The_Compleat_Works_of_Wllm_Shkspr,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,the compleat works of wllm shkspr,0.000549526033795851,0.00247286715208133
9564,15881,2,4.5,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",1821802,https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets,https://images.gr-assets.com/books/1474169725m/15881.jpg,harry potter and the chamber of secrets harry potter 2,2.195628284522687e-06,9.880327280352091e-06
14092,18135,2,4.5,Romeo and Juliet,1656919,https://www.goodreads.com/book/show/18135.Romeo_and_Juliet,https://images.gr-assets.com/books/1503315424m/18135.jpg,romeo and juliet,2.414119217656385e-06,1.0863536479453732e-05
1478,1080876,2,4.5,The Gods of the Greeks,397,https://www.goodreads.com/book/show/1080876.The_Gods_of_the_Greeks,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,the gods of the greeks,0.010075566750629723,0.04534005037783375
30335,5907,2,4.5,The Hobbit,2099680,https://www.goodreads.com/book/show/5907.The_Hobbit,https://images.gr-assets.com/books/1372847500m/5907.jpg,the hobbit,1.905052198430237e-06,8.572734892936066e-06
30660,6,2,4.5,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",1792561,https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire,https://images.gr-assets.com/books/1361482611m/6.jpg,harry potter and the goblet of fire harry potter 4,2.231444285578008e-06,1.0041499285101037e-05
0,1,2,4.0,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",1713866,https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince,https://images.gr-assets.com/books/1361039191m/1.jpg,harry potter and the halfblood prince harry potter 6,2.3339047510132063e-06,9.335619004052825e-06
16343,2,2,4.0,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",1766895,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,https://images.gr-assets.com/books/1507396732m/2.jpg,harry potter and the order of the phoenix harry potter 5,2.2638583503830164e-06,9.055433401532066e-06
